,Name,Lat,Lon,Temp,Cloudiness,Humidity,Wind
0,kushima,31.5,131.29,73.0,60,78,5.36
1,vanavara,60.35,102.28,31.13,100,97,4.63
2,mataura,-46.19,168.86,48.99,95,76,3.58
3,portales,34.19,-103.33,77.0,1,64,5.1
4,ushuaia,-54.81,-68.31,55.4,75,43,2.1
5,port elizabeth,39.31,-74.98,84.99,40,65,4.6
6,faanui,-16.48,-151.75,79.01,12,83,7.73
7,samarai,-10.62,150.67,74.15,90,95,2.23
8,hilo,19.71,-155.08,75.2,20,60,1.5
9,east london,-33.02,27.91,68.0,20,88,3.1
10,jamestown,-33.21,138.6,41.93,0,71,1.52
11,new norfolk,-42.78,147.06,50.0,40,61,5.7
12,punta arenas,-53.16,-70.91,51.8,100,81,4.1
13,hirara,24.8,125.28,80.99,0,89,5.67
14,ribeira grande,38.52,-28.7,75.2,40,88,6.2
15,rikitea,-23.12,-134.97,74.33,49,82,6.16
16,san patricio,-26.98,-56.83,92.69,0,26,0.88
17,pangody,65.85,74.49,32.93,99,87,2.09
18,tuktoyaktuk,69.44,-133.03,30.2,90,100,2.1
19,flin flon,54.77,-101.88,39.2,40,51,5.1
20,narrabri,-30.33,149.78,48.2,1,24,2.67
21,vaini,15.34,74.49,74.15,75,92,0.9
22,zhangye,38.94,100.46,60.65,0,22,2.06
23,albany,42.65,-73.75,78.01,20,53,5.1
24,bluff,-23.58,149.07,62.45,55,85,1.0
25,vanimo,-2.67,141.3,79.73,45,78,2.72
26,goedereede,51.82,3.98,64.0,20,77,9.8
27,khatanga,71.98,102.47,26.81,72,73,1.37
28,klaksvik,62.23,-6.59,53.6,100,71,2.1
29,clyde river,70.47,-68.59,37.4,90,100,5.1
30,barrow,-38.31,-60.23,74.69,11,52,7.06
31,pevek,69.7,170.27,35.81,100,97,7.29
32,mokhsogollokh,61.4,128.95,28.07,0,90,4.61
33,busselton,-33.64,115.35,57.0,19,65,6.09
34,amarante do maranhao,-5.57,-46.74,98.09,59,29,1.18
35,bethel,60.79,-161.76,48.2,90,87,2.6
36,qaanaaq,77.48,-69.36,35.27,8,62,3.69
37,kalachinsk,55.05,74.58,40.85,95,70,4.06
38,kavieng,-2.57,150.8,82.61,18,72,1.46
39,menongue,-14.66,17.68,71.63,86,20,1.44
40,lasa,34.92,32.53,78.8,20,73,4.1
41,sechura,-5.56,-80.82,61.55,25,95,7.51
42,castro,-42.48,-73.76,48.2,90,100,7.7
43,avarua,-21.21,-159.78,69.8,66,88,0.5
44,yerofey pavlovich,53.97,121.97,26.99,0,82,1.33
45,dikson,73.51,80.55,32.57,88,83,3.31
46,hermanus,-34.42,19.24,72.0,100,80,4.92
47,portland,43.66,-70.25,77.0,40,64,4.1
48,udachnyy,66.42,112.4,28.4,40,68,2.0
49,carutapera,-1.2,-46.02,86.03,65,60,4.71
50,srednekolymsk,67.46,153.71,23.93,92,95,2.91
51,butaritari,3.07,172.79,82.61,56,72,4.13
52,kyabe,9.45,18.94,75.05,86,89,0.22
53,autazes,-3.58,-59.13,93.59,80,46,1.3
54,kapaa,22.08,-159.32,80.6,40,83,2.1
55,talaya,55.79,84.89,36.0,20,100,4.0
56,atuona,-9.8,-139.03,80.27,0,71,7.85
57,airai,-8.93,125.41,67.85,95,74,1.66
58,ola,59.58,151.3,38.69,100,52,4.66
59,tiksi,71.64,128.87,26.99,82,91,3.1
60,mogadishu,2.04,45.34,77.57,86,81,6.84
61,hithadhoo,-0.6,73.08,83.15,100,70,3.78
62,puerto del rosario,28.5,-13.86,80.6,0,73,4.6
63,husavik,50.56,-96.99,46.0,0,51,3.13
64,vestmanna,62.16,-7.17,53.6,100,71,2.1
65,kodiak,39.95,-94.76,62.01,90,93,4.6
66,oranjemund,-28.55,16.43,59.03,67,90,3.06
67,puerto ayora,-0.74,-90.35,75.2,20,60,8.2
68,aklavik,68.22,-135.01,30.2,75,100,1.0
69,lebu,8.96,38.73,55.61,84,89,1.84
70,izhma,65.01,53.91,36.53,90,98,2.71
71,toowoomba,-27.56,151.95,62.01,0,76,2.6
72,stryn,61.9,6.72,55.99,67,74,0.45
73,weihe,32.99,105.33,55.43,79,97,1.59
74,fortuna,40.6,-124.16,57.0,75,81,2.6
75,myaundzha,63.05,147.18,26.09,100,88,1.43
76,longyearbyen,78.22,15.63,28.4,75,63,1.5
77,san policarpo,12.18,125.51,79.37,100,86,3.86
78,talnakh,69.49,88.39,32.0,75,98,3.0
79,iquitos,-3.75,-73.25,82.4,75,74,2.1
80,wanning,48.64,13.53,63.0,75,67,4.6
81,norman wells,65.28,-126.83,30.2,20,80,2.6
82,hochheim,50.96,11.0,61.0,40,67,7.2
83,hobart,-42.88,147.33,50.0,40,61,5.7
84,ambon,47.55,-2.56,64.99,75,72,5.1
85,komsomolskiy,67.55,63.78,28.07,95,92,2.79
86,la ronge,55.1,-105.3,37.4,40,69,4.1
87,pangnirtung,66.15,-65.72,48.2,90,76,9.3
88,kalevala,64.12,29.58,45.35,91,89,2.36
89,tasiilaq,65.61,-37.64,50.0,20,53,1.0
90,myitkyina,25.38,97.4,72.53,0,69,1.17
91,vao,59.1,26.19,48.41,69,87,4.03
92,provideniya,64.42,-173.23,40.67,100,99,1.47
93,hearst,49.69,-83.67,51.29,0,51,3.45
94,victoria,5.28,115.24,78.8,75,88,1.19
95,mnogovershinnyy,53.94,139.92,48.77,35,93,4.34
96,dakar,14.69,-17.45,87.8,20,66,3.6
97,leningradskiy,69.38,178.42,37.07,69,80,2.67
98,bredasdorp,-34.53,20.04,66.0,100,72,6.7
99,chokurdakh,70.62,147.9,26.45,100,96,1.53
100,hami,42.84,93.51,70.55,17,22,2.37
101,abaete,-19.16,-45.45,88.01,32,35,1.78
102,nedjo,9.5,35.5,61.01,88,96,1.36
103,ramos arizpe,25.54,-100.95,84.99,5,45,2.6
104,coahuayana,18.62,-100.35,81.71,100,77,1.28
105,hengyang,26.89,112.6,70.55,0,40,0.88
106,college,64.86,-147.8,39.99,1,92,1.02
107,cape town,-33.93,18.42,72.0,0,68,4.1
108,basco,40.33,-91.2,75.99,90,100,3.1
109,mosquera,4.71,-74.23,68.0,75,42,4.1
110,west haverstraw,41.21,-73.99,82.0,40,65,9.3
111,bathurst,-33.42,149.58,42.01,21,65,0.98
112,mar del plata,-46.43,-67.52,66.23,0,30,12.67
113,qarqin,37.41,66.03,73.43,0,22,0.95
114,cayenne,4.94,-52.33,89.6,32,59,4.1
115,sijunjung,-0.69,100.95,67.49,100,95,0.57
116,saskylakh,71.97,114.09,25.01,39,90,2.92
117,tual,-5.67,132.75,78.47,100,84,5.66
118,zihuatanejo,17.64,-101.55,84.2,75,79,2.36
119,mecca,21.43,39.83,87.65,2,46,2.38
120,kieta,-6.22,155.63,78.83,1,79,3.01
121,dwarka,28.58,77.04,78.8,40,78,4.6
122,anloga,5.79,0.9,82.4,20,78,5.7
123,high level,58.52,-117.13,33.8,90,74,1.6
124,valls,41.28,1.25,75.99,20,73,2.6
125,taoudenni,22.68,-3.98,103.85,38,6,4.61
126,pacifica,37.61,-122.49,64.4,1,77,8.7
127,nikolskoye,59.7,30.79,50.0,75,87,3.0
128,yulara,-25.24,130.99,73.4,100,24,3.1
129,mahebourg,-20.41,57.7,73.99,40,78,5.7
